departure_airport_name,departure_time,arrival_airport_name,arrival_time,duration,airline,travel_class,price
Bandar Udara Internasional Changi Singapura,2024-11-27 15:20:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 16:20:00,120,Garuda Indonesia,Economy,11826740.0
Bandar Udara Internasional Changi Singapura,2024-11-27 12:20:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 13:20:00,120,Garuda Indonesia,Economy,11826740.0
Bandar Udara Internasional Halim Perdanakusuma,2024-12-12 16:30,Bandar Udara Internasional Juanda,2024-12-12 17:55,85,Batik Air,Economy,3857950.0
Bandar Udara Internasional Juanda,2024-11-27 06:00:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 07:35:00,95,Citilink Indonesia,Economy,1837621.0
Bandar Udara Internasional Juanda,2024-11-27 07:50:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 09:15:00,85,Thai Lion Air,Economy,1884580.0
Bandar Udara Internasional Juanda,2024-11-27 07:50:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 09:15:00,85,Lion,Economy,1892070.0
Bandar Udara Internasional Juanda,2024-11-27 06:00:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 07:25:00,85,Batik Air,Economy,1974870.0
Bandar Udara Internasional Juanda,2024-11-27 16:50:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 18:30:00,100,Garuda Indonesia,Economy,2492170.0
Bandar Udara Internasional Juanda,2024-11-27 10:40:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 12:15:00,95,Pelita Air Service,Economy,2030010.0
Bandar Udara Internasional Juanda,2024-11-27 20:55:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 22:35:00,100,Garuda Indonesia,Economy,5185580.0
Bandar Udara Internasional Juanda,2024-11-27 07:05:00,Bandar Udara Internasional Changi Singapura,2024-11-27 10:25:00,140,Garuda Indonesia,Economy,11826740.0
Bandar Udara Internasional Juanda,2024-11-27 07:05:00,Bandar Udara Internasional Changi Singapura,2024-11-27 10:25:00,140,Garuda Indonesia,Economy,11826740.0
Bandar Udara Internasional Juanda,2024-11-27 07:05:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 08:40:00,95,Garuda Indonesia,Business Class,15101111.0
Bandar Udara Internasional Juanda,2024-11-27 06:00:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 07:35:00,95,Citilink Indonesia,Economy,4167587.0
Bandar Udara Internasional Soekarno Hatta,2024-12-13 16:55,Bandar Udara Internasional Yogyakarta,2024-12-13 18:15,80,Garuda Indonesia,Economy,14002750.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 17:05,Bandar Udara Internasional Yogyakarta,2024-12-12 18:25,80,Garuda Indonesia,Economy,14033400.0
Bandar Udara Internasional Soekarno Hatta,2024-12-13 07:35,Bandar Udara Jenderal Ahmad Yani,2024-12-13 08:45,70,Garuda Indonesia,Economy,13887350.0
Bandar Udara Internasional Soekarno Hatta,2024-12-13 07:35,Bandar Udara Jenderal Ahmad Yani,2024-12-13 08:45,70,Garuda Indonesia,Economy,13887350.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 15:45,Bandar Udara Jenderal Ahmad Yani,2024-12-12 16:55,70,Garuda Indonesia,Economy,13907330.0
Bandar Udara Internasional Soekarno Hatta,2024-12-13 06:50,Bandar Udara Internasional Juanda,2024-12-13 08:25,95,Garuda Indonesia,Economy,14710950.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 16:00,Bandar Udara Internasional Juanda,2024-12-12 17:40,100,Garuda Indonesia,Economy,14736480.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 17:05,Bandar Udara Internasional Yogyakarta,2024-12-12 18:25,80,Garuda Indonesia,Economy,7764360.0
Bandar Udara Internasional Soekarno Hatta,2024-12-13 16:55,Bandar Udara Internasional Yogyakarta,2024-12-13 18:15,80,Garuda Indonesia,Economy,7764360.0
Bandar Udara Internasional Soekarno Hatta,2024-12-13 14:45,Bandar Udara Internasional Yogyakarta,2024-12-13 16:05,80,Garuda Indonesia,Business Class,15097680.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 15:45,Bandar Udara Jenderal Ahmad Yani,2024-12-12 16:55,70,Garuda Indonesia,Economy,7626790.0
Bandar Udara Internasional Soekarno Hatta,2024-12-13 07:35,Bandar Udara Jenderal Ahmad Yani,2024-12-13 08:45,70,Garuda Indonesia,Economy,7626790.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 16:00,Bandar Udara Internasional Juanda,2024-12-12 17:40,100,Garuda Indonesia,Economy,8537740.0
Bandar Udara Internasional Soekarno Hatta,2024-12-13 06:50,Bandar Udara Internasional Juanda,2024-12-13 08:25,95,Garuda Indonesia,Economy,8537740.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 17:00,Bandar Udara Internasional Yogyakarta,2024-12-12 18:15,75,Batik Air,Economy,3274730.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 15:45,Bandar Udara Jenderal Ahmad Yani,2024-12-12 16:55,70,Garuda Indonesia,Economy,13457080.0
Bandar Udara Internasional Soekarno Hatta,2024-12-13 07:35,Bandar Udara Jenderal Ahmad Yani,2024-12-13 08:45,70,Garuda Indonesia,Economy,13457080.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 17:00,Bandar Udara Internasional Yogyakarta,2024-12-12 18:15,75,Batik Air,Economy,3191670.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 18:55,Bandar Udara Internasional Yogyakarta,2024-12-12 20:15,80,Garuda Indonesia,Economy,4385770.0
Bandar Udara Internasional Soekarno Hatta,2024-12-13 08:05,Bandar Udara Jenderal Ahmad Yani,2024-12-13 09:20,75,Citilink Indonesia,Economy,3048826.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 17:45,Bandar Udara Jenderal Ahmad Yani,2024-12-12 18:55,70,Garuda Indonesia,Economy,4248100.0
Bandar Udara Internasional Soekarno Hatta,2024-12-13 07:35,Bandar Udara Jenderal Ahmad Yani,2024-12-13 08:45,70,Garuda Indonesia,Economy,4248100.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 13:25,Bandar Udara Jenderal Ahmad Yani,2024-12-12 14:40,75,Garuda Indonesia,Business Class,13681110.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 14:40,Bandar Udara Internasional Juanda,2024-12-12 16:10,90,Lion,Economy,3396898.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 17:45,Bandar Udara Internasional Juanda,2024-12-12 19:25,100,Citilink Indonesia,Economy,3432886.0
Bandar Udara Internasional Soekarno Hatta,2024-12-12 13:05,Bandar Udara Internasional Juanda,2024-12-12 14:35,90,Batik Air,Economy,3563550.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 06:00:00,Bandar Udara Internasional Yogyakarta,2024-11-27 07:15:00,75,Batik Air,Economy,1663380.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 18:10:00,Bandar Udara Internasional Yogyakarta,2024-11-27 19:25:00,75,Citilink Indonesia,Economy,1753371.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 14:45:00,Bandar Udara Internasional Yogyakarta,2024-11-27 16:05:00,80,Garuda Indonesia,Economy,2040820.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 17:20:00,Bandar Udara Internasional Yogyakarta,2024-11-27 18:30:00,70,Pelita Air Service,Economy,1930000.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 08:15:00,Bandar Udara Jenderal Ahmad Yani,2024-11-27 09:30:00,75,Citilink Indonesia,Economy,1644142.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 06:35:00,Bandar Udara Jenderal Ahmad Yani,2024-11-27 07:45:00,70,Thai Lion Air,Economy,1701756.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 06:35:00,Bandar Udara Jenderal Ahmad Yani,2024-11-27 07:45:00,70,Batik Air,Economy,1708596.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 07:50:00,Bandar Udara Jenderal Ahmad Yani,2024-11-27 09:00:00,70,Garuda Indonesia,Economy,1978336.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 14:40:00,Bandar Udara Internasional Juanda,2024-11-27 16:10:00,90,Thai Lion Air,Economy,1838170.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 14:40:00,Bandar Udara Internasional Juanda,2024-11-27 16:10:00,90,Lion,Economy,1845160.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 15:40:00,Bandar Udara Internasional Juanda,2024-11-27 17:20:00,100,Citilink Indonesia,Economy,1949451.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 17:00:00,Bandar Udara Internasional Juanda,2024-11-27 18:30:00,90,Batik Air,Economy,1982360.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 12:50:00,Bandar Udara Internasional Juanda,2024-11-27 14:25:00,95,Pelita Air Service,Economy,1990040.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 13:25:00,Bandar Udara Jenderal Ahmad Yani,2024-11-27 14:40:00,75,Garuda Indonesia,Economy,4274030.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 08:45:00,Bandar Udara Internasional Juanda,2024-11-27 10:25:00,100,Garuda Indonesia,Economy,4863280.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 14:45:00,Bandar Udara Internasional Yogyakarta,2024-11-27 16:05:00,80,Garuda Indonesia,Economy,4274030.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 18:55:00,Bandar Udara Internasional Yogyakarta,2024-11-27 20:15:00,80,Garuda Indonesia,Economy,4274030.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 15:40:00,Bandar Udara Internasional Juanda,2024-11-27 17:20:00,100,Citilink Indonesia,Economy,3434794.0
Bandar Udara Internasional Soekarno Hatta,2024-11-27 18:30:00,Bandar Udara Internasional Juanda,2024-11-27 20:15:00,105,Garuda Indonesia,Economy,5047310.0
Bandar Udara Internasional Soekarno Hatta,2024-11-28 18:55:00,Bandar Udara Internasional Yogyakarta,2024-11-28 20:15:00,80,Garuda Indonesia,Economy,5185580.0
